Age,Gender,Education,Marital Status,Residence Type,House Composition,Household Income,Country,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q7,Q8,Q8_4_TEXT,Q9,Q10,Participant_ID
35 - 44,Female,Postgraduate Degree,Married or domestic partnership,Apartment/Flat,Multi-generational family,"€20,000 - €39,999",Netherlands,No,,,,,,,,,,,,,7965
,,Bachelors Degree,Married or domestic partnership,Apartment/Flat,Family with young children (under 18),"€20,000 - €39,999",United Kingdom,No,,No,I am very interested in them,,,,,,,,,,1338
,,,,,,,,,,,,,,,,,,,,,9704
,,,,,,,,,,,,,,,,,,,,,1059
,,,,,,,,,,,,,,,,,,,,,3451
,,,,,,,,,,,,,,,,,,,,,8927
25 - 34,Male,Bachelors Degree,Single/never married,Single Family Detached Home,Multi-generational family,"€60,000 - €79,999",Netherlands,No,,,,,,,,,,,,,9475
,,,,,,,,,,,,,,,,,,,,,2041
,,,,,,,,,,,,,,,,,,,,,6234
,,,,,,,,,,,,,,,,,,,,,8333
25 - 34,Female,Postgraduate Degree,Single/never married,Apartment/Flat,Single adult,"€20,000 - €39,999",Netherlands,No,,,,,,,,,,,,,6323
,,,,,,,,,,,,,,,,,,,,,2069
,,,,,,,,,,,,,,,,,,,,,2159
,,,,,,,,,,,,,,,,,,,,,2135
,,,,,,,,,,,,,,,,,,,,,8386
,,,,,,,,,,,,,,,,,,,,,6188
,,,,,,,,,,,,,,,,,,,,,2339
,,,,,,,,,,,,,,,,,,,,,9522
,,,,,,,,,,,,,,,,,,,,,8547
35 - 44,Male,Bachelors Degree,Married or domestic partnership,Apartment/Flat,Family with young children (under 18),"€20,000 - €39,999",,,,,,,,,,,,,,,9738
,,,,,,,,,,,,,,,,,,,,,6080
,,,,,,,,,,,,,,,,,,,,,3660
,,,,,,,,,,,,,,,,,,,,,1188
25 - 34,Male,Bachelors Degree,Married or domestic partnership,Townhouse,Couple without children,"Over €100,000",Netherlands,No,,No,I am very interested in them,Energy efficiency,Extremely important,Extremely important,Extremely important,Extremely likely,High installation costs,,"More than € 2,000",Yes,8587
25 - 34,Female,Bachelors Degree,Single/never married,Single Family Detached Home,Single adult,"Under €20,000",Finland,No,,No,I am somewhat interested in them,Comfort and Ease of use,Moderately important,Moderately important,Moderately important,Somewhat likely,Concerns about maintenance and reliability,,Up to € 500,Yes,2944
,,,,,,,,,,,,,,,,,,,,,6318
,,,,,,,,,,,,,,,,,,,,,9306
,,,,,,,,,,,,,,,,,,,,,9519
